Name,Rating,Number of Raters,Sold,Current Price,Original Price
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
Apple AirPods Pro first Generation specials edition Dubai Copy Bluetooth Earbuds,4.1/5,(233),1K Sold,৳609,"৳ 1,900"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
Apple AirPods Pro first Generation specials edition Dubai Copy Bluetooth Earbuds,4.1/5,(233),1K Sold,৳609,"৳ 1,900"
Buds Air_i12_TWS Wireless 5.0 Earphone,4.2/5,(2759),16K Sold,৳265,৳ 499
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
Apple AirPods Pro first Generation specials edition Dubai Copy Bluetooth Earbuds,4.1/5,(233),1K Sold,৳609,"৳ 1,900"
Buds Air_i12_TWS Wireless 5.0 Earphone,4.2/5,(2759),16K Sold,৳265,৳ 499
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone Huawei iPhone,3.5/5,(82),849 Sold,৳350,"৳ 1,499"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
Apple AirPods Pro first Generation specials edition Dubai Copy Bluetooth Earbuds,4.1/5,(233),1K Sold,৳609,"৳ 1,900"
Buds Air_i12_TWS Wireless 5.0 Earphone,4.2/5,(2759),16K Sold,৳265,৳ 499
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone Huawei iPhone,3.5/5,(82),849 Sold,৳350,"৳ 1,499"
"M19 TWS Wireless Bluetooth 5.1 Earbuds - Featuring Touch Control, HD Mirror, and the Latest Updates for Enhanced Performance",3.7/5,(1308),8K Sold,৳497,"৳ 1,750"
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
Apple AirPods Pro first Generation specials edition Dubai Copy Bluetooth Earbuds,4.1/5,(233),1K Sold,৳609,"৳ 1,900"
Buds Air_i12_TWS Wireless 5.0 Earphone,4.2/5,(2759),16K Sold,৳265,৳ 499
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone Huawei iPhone,3.5/5,(82),849 Sold,৳350,"৳ 1,499"
"M19 TWS Wireless Bluetooth 5.1 Earbuds - Featuring Touch Control, HD Mirror, and the Latest Updates for Enhanced Performance",3.7/5,(1308),8K Sold,৳497,"৳ 1,750"
HBQ I7S Earphone Dual Mini With Power Case - Bluetooth Headphone,3.7/5,(246),1K Sold,৳245,৳ 450
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
Hoco EW51 ANC True Wireless Bluetooth Earbuds,4.4/5,(219),902 Sold,"৳1,399","৳ 2,500"
Apple AirPods Pro first Generation specials edition Dubai Copy Bluetooth Earbuds,4.1/5,(233),1K Sold,৳609,"৳ 1,900"
Buds Air_i12_TWS Wireless 5.0 Earphone,4.2/5,(2759),16K Sold,৳265,৳ 499
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone Huawei iPhone,3.5/5,(82),849 Sold,৳350,"৳ 1,499"
"M19 TWS Wireless Bluetooth 5.1 Earbuds - Featuring Touch Control, HD Mirror, and the Latest Updates for Enhanced Performance",3.7/5,(1308),8K Sold,৳497,"৳ 1,750"
HBQ I7S Earphone Dual Mini With Power Case - Bluetooth Headphone,3.7/5,(246),1K Sold,৳245,৳ 450
M19 TWS digital display bluetooth headset/with flashlight Earbuds TWS Earphone Touch Control Wireless Bluetooth 5.1 Headphones With Microphone Good effect and easy to use,4.2/5,(704),5K Sold,৳408,৳ 900
"Buds Air I12/Inpods Tws Wireless In-Ear Ear Pods Bluetooth 5.0 Headphones In Ear Earphone, In Ear Earbuds - Earbuds - Bluetooth Headphone - Bluetooth Headphone",4.3/5,(344),3K Sold,৳257,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.1/5,(2928),18K Sold,৳398,"৳ 1,199"
AirPods Pro 2ndGeneration specials edition Dubai wireless Earbuds,4.1/5,(302),1K Sold,৳638,"৳ 2,900"
Pro 6 Wireless Bluetooth Headphones TWS Earphones Mini Heaset with Charging Case Earbuds for All Phone,3.3/5,(127),1K Sold,৳352,"৳ 1,249"
M28 Wireless TWS Earphone BT 5.1 LED Battery Digital Display Mini Sports Earbuds - Bluetooth Headphone - Bluetooth Headphone - Bluetooth Headphone - Air Buds - Tws,3.4/5,(170),1K Sold,৳418,"৳ 1,550"
Lenovo Livepods Airpods Pro True Wireless Bluetooth Tws Headset Earbuds Earphones - Bluetooth Headphone,3.9/5,(606),3K Sold,৳349,৳ 850
M10 TWS Earbuds 2500mAh Charging Box Bluetooth-compatible Stereo Waterproof,4.3/5,(112),779 Sold,৳330,৳ 590
HBQ I7S Double Dual Mini Wireless 4.1 Bluetooth Earphone With Power Case,4.1/5,(2746),33K Sold,৳247,"৳ 1,050"
